"","Long","Lat","Snake_ID","Snake_Name","Time","Year","Location","UTM_E","UTM_N","Observers","Status","Snake_Sex","Habitat_Category","HabitatCategory2","HabitatComplexity","Percent_H20","Overstory","Understory","Behavior","Other_Behavior","Percent_Hidden","Snake_Temp","Substrate_Temp_Shade","Substrate_Temp_Sun","Water_Temp","Burrow_Type","Condition","Position","Skin","Survey_Time","Associated_Snakes","External_Marks","Comments","Designation","GlobalID","Season","Sector_1","Sector_2","Longitude","Latitude","GlobalID_2","Mo","Date","timestamp"
"12",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"IB","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,NA,NA,"029130f3-efd6-48d6-be8d-ad6555846b08",NA,NA,NA,-81.66921999,26.00140998,"{72B03210-02D2-4D87-AC53-85FB9CC1F655}",3,2013-03-01,"2013-03-01 1200"
"13",-81.662177754799,26.0137027466996,"PYBI_02","Sweet Pea","1500",2013,"P",433737.8797,2877368.75,NA,"inactive","Female","urban / anthro","lake / resevoire",1,NA,NA,"reeds","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"cold morning/canoed and walked north bank; Canoed and got fix in same area; walked North bank and got fix 2 bars gain between triple culverts and drain pipe on N bank; ~3' out under emergent vegetation; no sound without antennae",NA,"153a1bb9-4509-4a5b-b9ee-378b74681852",NA,NA,NA,-81.66217464,26.01369803,"{BEF91BDF-54EC-4C4F-82C4-BCB2BE0F9B1B}",3,2013-03-01,"2013-03-01 1500"
"14",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"IB","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,NA,NA,"68d32599-5b91-4154-82c8-641fdc7ae295",NA,NA,NA,-81.66921999,26.00140998,"{8C321D77-7739-4066-B0AB-B4C8C88522DA}",3,2013-03-06,"2013-03-06 1200"
"15",-81.662228784422,26.013679668395,"PYBI_02","Sweet Pea","1500",2013,"P",433732.7602,2877366.22,NA,"inactive","Female","urban / anthro","lake / resevoire",1,NA,NA,"reeds","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"Possibility underground course for sweet pea instead of underwater plausible",NA,"748e3340-0085-4ab4-9a5e-1f21dd4d1ee9",NA,NA,NA,-81.66222567,26.01367495,"{F2A2E6F1-D7D0-43D5-808C-E86E2428A537}",3,2013-03-06,"2013-03-06 1500"
"16",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"PTA,AF","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,NA,NA,"a55d6e77-fb75-4feb-a6eb-714f933c786a",NA,NA,NA,-81.66921999,26.00140998,"{EBF82184-4C65-469D-89E0-243D9BB087A1}",3,2013-03-09,"2013-03-09 1200"
"17",-81.6622785139841,26.0136373632521,"PYBI_02","Sweet Pea","1800",2013,"P",433727.76,2877361.56,"PTA, AF","inactive","Female","urban / anthro","lake / resevoire",1,NA,NA,"reeds","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"localized to reeds",NA,"6fa8f77a-7caf-4609-8e9a-304730943233",NA,NA,NA,-81.6622754,26.01363265,"{4BE3FC74-F828-4CB6-9FB8-5ED890FA5813}",3,2013-03-09,"2013-03-09 1800"
"18",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"PTA,AF","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,NA,NA,"741ecb8d-8648-4113-b800-12f8f013fbbe",NA,NA,NA,-81.66921999,26.00140998,"{3FBC090E-156E-4BDB-882C-52CB83EB8AA9}",3,2013-03-10,"2013-03-10 1200"
"19",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"PTA","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,"recorded by trailcam recorded at entrance 14:50-15:51 h",NA,"d58df287-c484-4f3c-b72d-913be543f657",NA,NA,NA,-81.66921999,26.00140998,"{EDEFD588-0199-414E-BE8D-9B8775B65752}",3,2013-03-11,"2013-03-11 1200"
"20",-81.6643938644281,26.001071617885,"PYBI_04","General","1500",2013,"R",433509.0001,2875970.999,"PTA, DB","inactive","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crawled in brush to north",NA,"dadce4aa-4796-4c0b-99d9-b4395a4183b4","Breeding","S","E",-81.66439075,26.00106691,"{3A9EF727-2945-4330-B24E-B2C0F4D1C947}",3,2013-03-12,"2013-03-12 1500"
"21",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"PTA,IB,SB,JAC","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,NA,NA,"191c5e72-0cc9-425a-b5cf-7f6b1094a398",NA,NA,NA,-81.66921999,26.00140998,"{B9323983-9523-407E-B474-3A37F84A566D}",3,2013-03-14,"2013-03-14 1200"
"22",-81.6623299847147,26.0136204229327,"PYBI_02","Sweet Pea","1615",2013,"M",433722.5998,2877359.71,NA,"inactive","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new antennae - still in weeds",NA,"b83ebc1f-a4c1-4ab4-bbb5-68d8b0813ac6",NA,NA,NA,-81.66232687,26.01361571,"{1C6721C3-7592-4EC9-BB57-C164ADEF6B54}",3,2013-03-14,"2013-03-14 1615"
"23",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"PTA","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,"recorded by trailcam 15:22 re-entry (good clip for presentation)",NA,"63ecbdc7-16b4-4956-9044-ee33e95f344d",NA,NA,NA,-81.66921999,26.00140998,"{A6807782-8CC8-49AA-B189-40B9EA5A5E29}",3,2013-03-16,"2013-03-16 1200"
"24",-81.6712925162595,26.0018163046701,"PYBI_04","General","1700",2013,"T",432819.0001,2876057,"PTA","inactive","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d9bc78d9-a144-4185-8576-1c3591c38442","Breeding","S","E",-81.6712894,26.00181159,"{6B37BAE5-B5C4-4CCC-9758-517C7BD8E132}",3,2013-03-16,"2013-03-16 1700"
"25",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"V",433025.8796,2876011.46,"Camera","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"resting",NA,100,NA,NA,NA,NA,"DILLO","gravid",NA,"normal",NA,"1",NA,"possible different snake recorded entering her burrow (Big dingy stubby BDS snake)",NA,"2c8a7b32-3a76-4814-be91-c57537d61fc7",NA,NA,NA,-81.66921999,26.00140998,"{897128CA-EC54-4C76-8813-03F2E4788CA0}",3,2013-03-19,"2013-03-19 1200"
"26",-81.6692231064072,26.0014146932647,"PYBI_03","Noosa","1200",2013,"P",433025.8796,2876011.46,"IB","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"not visible",NA,100,NA,NA,NA,NA,"DILLO",NA,NA,NA,NA,"0",NA,NA,NA,"1d5973ec-96eb-464c-82e3-d8f83d9e6360",NA,NA,NA,-81.66921999,26.00140998,"{8F007F38-7FED-4E11-B697-7B7E339E8780}",3,2013-03-22,"2013-03-22 1200"
"27",-81.6712126862407,26.0018347341603,"PYBI_04","General","1700",2013,"V",432827,2876059,NA,"inactive","Male","mangrove swamp","lake / resevoire",NA,NA,"red mangrove, climbing fern",NA,"basking",NA,NA,NA,NA,NA,NA,NA,"healthy","arboreal","normal",NA,"0",NA,"took photo (confirm exact coordinates) 6-7' off ground",NA,"49c3ddb8-9b36-4d77-8b9e-2b141ef4f14a","Breeding","S","E",-81.67120957,26.00183002,"{9D6777D1-E234-41BA-B715-54B06EEF3DC8}",3,2013-03-22,"2013-03-22 1700"
"28",-81.6678095654433,26.0013126931346,"PYBI_03","Noosa","1200",2013,"V",433167.29,2875999.44,"IB","inactive","Female","disturbed","mangrove swamp",NA,NA,NA,NA,"resting",NA,100,NA,NA,NA,NA,"DILLO","gravid",NA,"normal",NA,"0",NA,"Burrow #2 CONFIRMED, Visual of snake entering burrow (reciever picked up signal in burrow afterwards) fairly confident transmitter in snake at this time",NA,"a55beb4e-7357-4f7d-a085-d597bbd72467",NA,NA,NA,-81.66780645,26.00130798,"{5EC2B82D-AE7D-4757-A978-F5FDE70937AD}",3,2013-03-29,"2013-03-29 1200"
"29",-81.6707306770255,26.0014125850622,"PYBI_04","General","1715",2013,"V",432874.9997,2876012,NA,"inactive","Male","disturbed","mangrove swamp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"R2N with probably yet unknown PB",NA,"c7b09bc9-838e-4d94-96af-a1c425e2d1fd","Breeding","S","E",-81.67072756,26.00140787,"{301C635E-2097-4D2D-ABCD-CFBFDF2F8F1B}",3,2013-03-29,"2013-03-29 1715"
"30",-81.6621969040565,26.013607217466,"PYBI_02","Sweet Pea","2020",2013,"V",433735.9098,2877358.18,NA,"inactive","Female","urban / anthro","lake / resevoire",1,NA,NA,"reeds","resting",NA,NA,NA,NA,NA,NA,NA,"healthy","coiled","normal",NA,"0",NA,"on interface of reeds and water, Tight ball on edge of Rushes; had to walk right on top; brief visual then she disappeared",NA,"2ea80cbc-6fc0-440a-90c1-041860a96ceb",NA,NA,NA,-81.66219379,26.0136025,"{5D1AF01F-C9E2-47EE-8E59-174CF18902DF}",3,2013-03-29,"2013-03-29 2020"
"31",-81.6678095654433,26.0013126931346,"PYBI_03","Noosa","1200",2013,"P",433167.29,2875999.44,"IB,AF,NM","inactive","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shed collected near her burrow entrance (shed transmitter between 29th and 7th, found by PTA 04MAY13)",NA,"2c10c383-42a2-40f7-9d98-a7d1d287ffba",NA,NA,NA,-81.66780645,26.00130798,"{F2CF00A1-80E0-4915-BF9C-097983B8F08B}",4,2013-04-07,"2013-04-07 1200"
"32",-81.6705974461044,26.00140670169,"PYBI_04","General","1725",2013,"V",432888.3302,2876011.28,NA,"inactive","Male","disturbed","mangrove swamp",NA,NA,NA,NA,"courting",NA,NA,NA,NA,NA,NA,NA,"healthy",NA,"normal",NA,"1",NA,"with PB (2nd capture/release/retreated/submerged to water north) BP01-07APR13",NA,"fbda164d-d110-4e1a-b00a-98b88cb41c0e","Breeding","S","E",-81.67059433,26.00140199,"{8B08F070-1E80-4562-8C91-5287737A8B17}",4,2013-04-07,"2013-04-07 1725"
"33",-81.6706049170485,26.001366576165,"PYBI_05","Paula","1200",2013,"R",432887.5597,2876006.84,NA,"inactive","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"released at capture site she went south to water submerged",NA,"34e7e452-633a-444c-b482-a8a530fa7eb3",NA,NA,NA,-81.6706018,26.00136186,"{9FE209D1-06A5-45DD-A0DA-7A1F3FE25487}",4,2013-04-10,"2013-04-10 1200"
"34",-81.6622951846625,26.0136155258548,"PYBI_02","Sweet Pea","1900",2013,"P",433726.0795,2877359.15,NA,"inactive","Female","urban / anthro","lake / resevoire",1,NA,NA,"reeds","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"signal from reeds",NA,"9b7e2bc5-0e3d-4ca9-8313-5fd11ce8d1d7",NA,NA,NA,-81.66229207,26.01361081,"{1C5A9412-C6B2-4147-8603-1BDA00AF3875}",4,2013-04-10,"2013-04-10 1900"
